ISO,NAME_0,NAME_1,Province
DZA,Algeria,Aïn Defla,2
DZA,Algeria,Aïn Témouchent,3
DZA,Algeria,Adrar,1
DZA,Algeria,Alger,4
DZA,Algeria,Annaba,5
DZA,Algeria,Béchar,7
DZA,Algeria,Béjaïa,8
DZA,Algeria,Batna,6
DZA,Algeria,Biskra,9
DZA,Algeria,Blida,10
DZA,Algeria,Bordj Bou Arréridj,11
DZA,Algeria,Bouira,12
DZA,Algeria,Boumerdès,13
DZA,Algeria,Chlef,14
DZA,Algeria,Constantine,15
DZA,Algeria,Djelfa,16
DZA,Algeria,El Bayadh,17
DZA,Algeria,El Oued,18
DZA,Algeria,El Tarf,19
DZA,Algeria,Ghardaïa,20
DZA,Algeria,Guelma,21
DZA,Algeria,Illizi,22
DZA,Algeria,Jijel,23
DZA,Algeria,Khenchela,24
DZA,Algeria,Laghouat,25
DZA,Algeria,M'Sila,26
DZA,Algeria,Médéa,28
DZA,Algeria,Mascara,27
DZA,Algeria,Mila,29
DZA,Algeria,Mostaganem,30
DZA,Algeria,Naâma,31
DZA,Algeria,Oran,32
DZA,Algeria,Ouargla,33
DZA,Algeria,Oum el Bouaghi,34
DZA,Algeria,Relizane,35
DZA,Algeria,Sétif,37
DZA,Algeria,Saïda,36
DZA,Algeria,Sidi Bel Abbès,38
DZA,Algeria,Skikda,39
DZA,Algeria,Souk Ahras,40
DZA,Algeria,Tébessa,42
DZA,Algeria,Tamanghasset,41
DZA,Algeria,Tiaret,43
DZA,Algeria,Tindouf,44
DZA,Algeria,Tipaza,45
DZA,Algeria,Tissemsilt,46
DZA,Algeria,Tizi Ouzou,47
DZA,Algeria,Tlemcen,48
LBY,Libya,Al Butnan,49
LBY,Libya,Al Jabal al Akhdar,50
LBY,Libya,Al Jabal al Gharbi,51
LBY,Libya,Al Jifarah,52
LBY,Libya,Al Jufrah,53
LBY,Libya,Al Kufrah,54
LBY,Libya,Al Marj,55
LBY,Libya,Al Marqab,56
LBY,Libya,Al Wahat,57
LBY,Libya,An Nuqat al Khams,58
LBY,Libya,Az Zawiyah,59
LBY,Libya,Benghazi,60
LBY,Libya,Darnah,61
LBY,Libya,Ghat,62
LBY,Libya,Misratah,63
LBY,Libya,Murzuq,64
LBY,Libya,Nalut,65
LBY,Libya,Sabha,66
LBY,Libya,Surt,67
LBY,Libya,Tripoli,68
LBY,Libya,Wadi al Hayat,69
LBY,Libya,Wadi ash Shati',70
TUN,Tunisia,Ariana,71
TUN,Tunisia,Béja,72
TUN,Tunisia,Ben Arous (Tunis Sud),73
TUN,Tunisia,Bizerte,74
TUN,Tunisia,Gabès,75
TUN,Tunisia,Gafsa,76
TUN,Tunisia,Jendouba,77
TUN,Tunisia,Kairouan,78
TUN,Tunisia,Kassérine,79
TUN,Tunisia,Kebili,80
TUN,Tunisia,Le Kef,81
TUN,Tunisia,Médenine,84
TUN,Tunisia,Mahdia,82
TUN,Tunisia,Manubah,83
TUN,Tunisia,Monastir,85
TUN,Tunisia,Nabeul,86
TUN,Tunisia,Sfax,87
TUN,Tunisia,Sidi Bou Zid,88
TUN,Tunisia,Siliana,89
TUN,Tunisia,Sousse,90
TUN,Tunisia,Tataouine,91
TUN,Tunisia,Tozeur,92
TUN,Tunisia,Tunis,93
TUN,Tunisia,Zaghouan,94
